district,states,score
1,150,60379
1,160,61036
1,170,61792
1,150,59191
1,161,59983
1,165,60073
1,155,58489
1,161,58138
1,156,60388
1,150,62296
1,157,59776
1,159,59443
1,158,60964
1,155,61333
1,156,60073
1,166,62458
1,173,62917
1,150,58165
1,150,58282
1,161,60577
1,150,56725
1,168,61963
1,197,63340
1,158,58480
1,150,57400
1,176,62458
1,165,60622
1,165,60802
1,159,60640
1,160,60325
1,158,61315
1,169,62548
1,150,59110
1,163,61315
1,174,59164
1,159,59578
1,150,56059
1,158,61423
1,150,57409
1,160,59371
1,150,60181
1,183,60208
1,164,58921
1,191,62926
1,161,60361
1,155,58489
1,157,60298
1,173,60217
1,150,57472
1,160,59281
1,170,63178
1,161,59776
1,157,60847
1,150,59803
1,152,59866
1,173,58732
1,157,56590
1,160,59452
1,150,58300
1,156,58462
1,162,62260
1,168,60757
1,152,61117
1,156,60496
1,161,60559
1,150,59227
1,161,59866
1,168,60901
1,164,58840
1,170,62170
1,172,60334
1,169,61720
1,152,57859
1,163,60163
1,158,61657
1,171,60613
1,152,60244
1,155,58408
1,157,61972
1,153,60694
1,154,59326
1,158,59218
1,161,59830
1,166,60901
1,160,59533
1,150,61450
1,159,61459
1,161,60100
1,152,58147
1,167,62341
1,150,61171
1,179,62341
1,175,61252
1,173,61603
1,150,58867
1,150,59173
1,165,60685
1,155,60244
1,159,61900
1,150,59362
1,156,62053
1,150,60262
1,173,62008
1,150,57697
1,171,62017
1,160,57481
1,150,57508
1,161,58786
1,166,63151
1,162,58993
1,162,59965
1,150,57598
1,161,60604
1,173,60514
1,159,60253
1,168,61576
1,160,59146
1,152,58957
1,167,60451
1,150,56086
1,167,63799
1,164,59731
1,156,61162
1,158,63169
1,171,61828
1,159,60073
1,168,58795
1,177,59650
1,161,59407
1,182,62098
1,174,60703
1,158,60559
1,154,59047
1,150,60865
1,154,57895
1,174,58894
1,197,59713
1,152,61612
1,167,61945
1,181,63475
1,150,60379
1,150,59461
1,160,61297
1,165,61459
1,179,58957
1,182,61855
1,155,60352
1,158,63214
1,161,61765
1,172,64195
1,163,57481
1,165,61810
1,157,61963
1,159,57148
1,159,63646
1,174,57805
1,156,61153
1,155,60352
1,157,60055
1,170,61153
1,150,57787
1,167,59587
1,155,61540
1,160,60397
1,173,59569
1,167,61801
1,173,59776
1,150,59632
1,158,58651
1,171,60280
1,150,57661
1,164,60100
1,154,58363
1,161,57913
1,163,59200
1,150,58120
1,150,59740
1,175,59947
1,169,59497
1,150,57688
1,162,59524
1,150,60991
1,165,61558
1,171,59596
1,171,63250
1,155,60901
1,157,60127
1,150,58813
1,162,59164
1,159,59443
1,159,60028
1,157,60973
1,156,61216
1,164,59965
1,153,59632
1,155,58453
1,158,58606
1,174,59677
1,156,59956
1,160,62026
1,168,60172
1,162,61207
1,159,60028
1,154,62143
1,156,60991
1,150,58228
1,156,60514
1,170,63187
1,171,61558
1,156,61189
1,165,62098
1,169,62053
1,159,61783
1,163,59605
1,163,61891
1,150,57787
1,168,60316
1,166,58336
1,175,59875
1,153,58363
1,192,62062
1,172,61972
1,171,59011
1,160,58642
1,182,62656
1,163,61216
1,155,60829
1,155,57769
1,172,61639
1,163,60091
1,165,60145
1,150,58579
1,171,61603
1,157,58723
1,157,59686
1,156,60208
1,150,60181
1,164,59443
1,163,61036
1,159,61099
1,157,60415
1,159,58948
1,162,59335
1,164,61963
1,170,59335
1,150,59875
1,150,59110
1,152,56518
1,160,61198
1,189,62944
1,165,61090
1,155,61306
1,161,60253
1,165,59785
1,154,59380
1,173,62260
1,150,58228
1,160,59443
1,150,59371
1,169,61306
1,156,59524
1,150,57625
1,156,59335
1,155,58174
1,153,61936
1,159,60406
1,159,61558
1,166,59308
1,163,57238
1,158,61396
1,150,60154
1,173,57841
1,150,61225
1,154,58084
1,188,61504
1,168,62701
1,159,59803
1,158,63286
1,161,60937
1,150,60649
1,157,61315
1,166,61504
1,157,58840
1,167,60802
1,169,60928
1,178,61783
1,160,63061
1,157,58534
1,150,62188
1,163,59326
1,150,57823
1,152,60190
1,178,61324
1,154,63610
1,164,59443
1,150,60820
1,155,57751
1,152,58498
1,157,58552
1,163,60739
1,179,61126
1,170,63511
1,150,59650
1,166,61684
1,157,58840
1,173,62350
1,157,59614
1,160,62836
1,162,61468
1,168,61315
1,150,59308
1,172,60442
1,158,61378
1,169,59326
1,161,60478
1,152,59497
1,150,58678
1,160,60631
1,150,59695
1,161,60451
1,155,57868
1,161,60469
1,178,62368
1,161,63673
1,157,64249
1,164,62296
1,157,60280
1,153,59155
1,166,59830
1,161,59731
1,153,58912
1,161,60829
1,171,61747
1,156,59119
1,158,59353
1,161,59623
1,161,63106
1,163,59830
1,161,60874
1,157,57436
1,161,60667
1,172,59767
1,157,59785
1,162,58282
1,158,59713
1,163,62314
1,150,60082
1,161,61027
1,165,60442
1,158,61702
1,168,61648
1,150,59722
1,174,60073
1,183,60100
1,172,61774
1,162,60829
1,150,60829
1,176,59740
1,154,61333
1,156,60208
1,150,58426
1,178,61567
1,158,59875
1,171,61702
